Ticker,ISIN
1CNHI.MI,NL0010545661
1U1.DE,DE0005545503
A2A.MI,IT0001233417
AAPL,US0378331005
ABBV,US00287Y1091
ABNB,US0090661010
ABT,US0028241000
ACN,IE00B4BNMY34
ACS.MC,ES0167050915
ACX.MC,ES0132105018
ADBE,US00724F1012
ADI,US0326541051
ADP,US0530151036
ADSK,US0527691069
ADV.DE,DE0005103006
AEP,US0255371017
AHYE.MI,LU1681040496
AI.PA,FR0000120073
AIR.PA,NL0000235190
AIXA.DE,DE000A0WMPJ6
ALNY,US02043Q1076
ALV.DE,DE0008404005
AMAT,US0382221051
AMD,US0079031078
AMGN,US0311621009
AMT,US03027X1000
AMZN,US0231351067
APP,US03831W1080
ARM,US0420682058
ASML,USN070592100
AVGO,US11135F1012
AXON,US05464C1018
AXP,US0258161092
BA,US0970231058
BAC,US0605051046
BAMI.MI,IT0005218380
BAS.DE,DE000BASF111
BAYN.DE,DE000BAY0017
BKNG,US09857L1089
BKR,US05722G1004
BLK,US09247X1019
BMY,US1101221083
BNP.PA,FR0000131104
BNY,US0640581007
BRK.B,US0846707026
BRNT.MI,GB00B0CTWC01
C,US1729674242
C50.MI,LU1681047236
CAT,US1491231015
CCEP,GB00BDCPN049
CDNS,US1273871087
CEG,US21037T1097
CHTR,US16119P1084
CL,US1941621039
CLNX.MC,ES0105066007
CMCSA,US20030N1019
COF,US14040H1059
COP,US20825C1045
COST,US22160K1051
CPR.MI,IT0003849244
CPRT,US2172041061
CRM,US79466L3024
CRWD,US22788C1053
CSCO,US17275R1023
CSMIB.MI,IE00B53L4X51
CSX,US1264081035
CTAS,US1729081059
CTSH,US1924461023
CVS,US1266501006
CVX,US1667641005
DASH,US25809K1051
DAXX.MI,LU0252633754
DDOG,US23804L1035
DE,US2441991054
DHL.DE,DE0005552004
DHR,US2358511028
DIS,US2546871060
DTE.DE,DE0005557508
DUK,US26441C2044
DXCM,US2521311074
EA,US2855121099
EIMI.MI,IE00BKM4GZ66
EM13.MI,LU1650487413
EM57.MI,LU1287023003
EM710.MI,LU1287023185
EMKTB.MI,LU1686830909
EMR,US2910111044
ENEL.MI,IT0003128367
ENI.MI,IT0003132476
ENR.DE,DE000ENER6Y0
EOAN.DE,DE000ENAG999
EQQQ.MI,IE0032077012
EXC,US30161N1019
EXSA.MI,DE0002635307
FANG,US25278X1090
FAST,US3119001044
FBK.MI,IT0000072170
FDX,US31428X1063
FER,NL0015001FS8
FRA.DE,DE0005773303
FTNT,US34959E1091
G.MI,IT0000062072
GBF.DE,DE0005909006
GD,US3695501086
GE,US3696043013
GEHC,US36266G1076
GEV,US36828A1016
GILD,US3755581036
GLRE.MI,IE00B8GF1M35
GM,US37045V1008
GOOG,US02079K1079
GOOGL,US02079K3059
GRF.MC,ES0171996087
GS,US38141G1040
HAG.DE,DE000HAG0005
HD,US4370761029
HEI.DE,DE0006047004
HO.PA,FR0000121329
HON,US4385161066
HOT.DE,DE0006070006
IBE.MC,ES0144580Y14
IBM,US4592001014
IBTM.MI,IE00B1FZS798
IBTS.MI,IE00B14X4S71
IDXX,US45168D1046
IFX.DE,DE0006231004
IHYG.MI,IE00B66F4759
IHYU.MI,IE00B4PY7Y77
INSM,US4576693075
INTC,US4581401001
INTU,US4612021034
INW.MI,IT0005090300
IPRP.MI,IE00B0M63284
ISP.MI,IT0000072618
ISRG,US46120E6023
ITX.MC,ES0148396007
IWDE.MI,IE00B4L5Y983
JNJ,US4781601046
JPM,US46625H1005
KBX.DE,DE000KBX1006
KDP,US49271V1008
KER.PA,FR0000121485
KHC,US5007541064
KLAC,US4824801009
KO,US1912161007
LDO.MI,IT0003856405
LEG.DE,DE000LEG1110
LIN,IE000S9YS762
LITE,US55024U1097
LLY,US5324571083
LMT,US5398301094
LOW,US5486611073
LRCX,US5128071082
MA,US57636Q1040
MAR,US5719032022
MB.MI,IT0000062957
MC.PA,FR0000121014
MCD,US5801351017
MCHP,US5950171042
MDLZ,US6092071058
MDT,IE00BTN1Y115
MELI,US58733R1023
META,US30303M1027
ML.PA,FR001400AJ45
MMM,US88579Y1010
MNST,US61174X1090
MO,US02209S1033
MPWR,US6098391054
MRK,US58933Y1055
MRK.DE,DE0006599905
MRVL,US5738741041
MS,US6174464486
MSFT,US5949181045
MSTR,US5949724083
MTX.DE,DE000A0D9PT0
MU,US5951121038
MWEQ.MI,IE00BLNMYC90
NDX1.DE,DE000A0D6554
NEE,US65339F1012
NFLX,US64110L1061
NKE,US6541061031
NOW,US81762P1021
NVDA,US67066G1040
NXPI,NL0009538784
ODFL,US6795801009
OR.PA,FR0000120321
ORCL,US68389X1054
ORLY,US67103H1077
PANW,US6974351057
PAYX,US7043261079
PCAR,US6937181088
PDD,US7223041028
PEP,US7134481081
PFE,US7170811035
PG,US7427181091
PLTR,US69608A1088
PM,US7181721090
PRY.MI,IT0004176001
PST.MI,IT0003796171
PYPL,US70450Y1038
QCOM,US7475251036
R3NK.DE,DE000RENK730
RACE.MI,NL0011509302
REC.MI,IT0003828271
REGN,US75886F1075
REP.MC,ES0173516115
RHM.DE,DE0007030009
ROP,US7766961061
ROST,US7782961038
RTX,US75513E1010
RWE.DE,DE0007037129
SAN.MC,ES0113900J37
SAN.PA,FR0000120578
